EventNo,Year,Title,Description,DescriptionSource,States,Bankruptcies,Unemployment,HomeownerRate,GSP,Crime,Source
1,2008,Home prices down 18% in 2008,"Home prices are back to their March 2004 levels, having dropped in 20 major U.S. cities by 2.2% in October and by a record 18% from the previous year, ","Marketwatch, 2008",US,,,TRUE,,,http://www.marketwatch.com/story/home-prices-off-record-18-in-past-year-case-shiller-says
2,2008,U.S. bankruptcy filings up 31% in 2008,The U.S. House of Representatives is expected to approve a bill that would let judges erase mortgage debt for homeowners who enter bankruptcy as a last resort.,"Reuters, 2009",US,TRUE,,,,,http://www.reuters.com/article/2009/03/05/us-usa-bankruptcy-filings-idUSTRE5246GO20090305
3,2012,Bankrupty Filings Continue Decline,"Bankruptcy filings for the 12-month period ending June 30, 2012, totaled 14 percent less than in the 12-month period ending June 30, 2011","United States Courts, 2012",US,TRUE,,,,,http://news.uscourts.gov/bankruptcy-filings-continue-decline
4,2008,Foreclosures on the Rise,"Nevada tops the list with 7.3% foreclosure rate, followed by Arizona and Florida (4.5%) and California (4%)","USA Today, 2008",US NV FL CA AZ,TRUE,,TRUE,,,http://usatoday30.usatoday.com/money/economy/housing/2009-01-14-foreclosure-record-filings_N.htm?csp=DailyBriefing
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
